09:21:51.277 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.wljy.services.wljyTest], using SpringBootContextLoader
09:21:51.289 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.wljy.services.wljyTest]: no resource found for suffixes {-context.xml, Context.groovy}.
09:21:51.290 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.wljy.services.wljyTest]: wljyTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
09:21:51.520 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.wljy.WljyApplication for test class com.wljy.services.wljyTest
09:21:51.727 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@24855019, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@3abd581e, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@4d4d8fcf, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@610db97e, org.springframework.test.context.support.DirtiesContextTestExecutionListener@6f0628de, org.springframework.test.context.event.EventPublishingTestExecutionListener@3fabf088]
09:21:52.307 [main] INFO  com.wljy.services.wljyTest - Starting wljyTest using Java 1.8.0_151 on XuChunYang with PID 33536 (started by 19732 in F:\springboot-xcy\springboot-wljy)
09:21:52.309 [main] INFO  com.wljy.services.wljyTest - No active profile set, falling back to default profiles: default
09:21:53.294 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
09:21:53.298 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
09:21:53.330 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 15 ms. Found 0 Redis repository interfaces.
09:21:53.799 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisConfig' of type [com.wljy.config.RedisConfig$$EnhancerBySpringCGLIB$$48af5ac9] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
09:21:54.322 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
09:21:54.550 [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
09:21:57.504 [main] INFO  com.wljy.config.RedisConfig - åˆå§‹åŒ– -> [Redis CacheErrorHandler]
09:21:59.013 [main] INFO  com.wljy.services.wljyTest - Started wljyTest in 7.212 seconds (JVM running for 9.816)
09:22:04.246 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
09:22:04.256 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
09:22:44.800 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.wljy.services.wljyTest], using SpringBootContextLoader
09:22:44.813 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.wljy.services.wljyTest]: no resource found for suffixes {-context.xml, Context.groovy}.
09:22:44.815 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.wljy.services.wljyTest]: wljyTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
09:22:45.024 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.wljy.WljyApplication for test class com.wljy.services.wljyTest
09:22:45.199 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@3c321bdb, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@24855019, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@3abd581e, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@4d4d8fcf, org.springframework.test.context.support.DirtiesContextTestExecutionListener@610db97e, org.springframework.test.context.event.EventPublishingTestExecutionListener@6f0628de]
09:22:45.636 [main] INFO  com.wljy.services.wljyTest - Starting wljyTest using Java 1.8.0_151 on XuChunYang with PID 54056 (started by 19732 in F:\springboot-xcy\springboot-wljy)
09:22:45.637 [main] INFO  com.wljy.services.wljyTest - No active profile set, falling back to default profiles: default
09:22:46.281 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
09:22:46.284 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
09:22:46.308 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 12 ms. Found 0 Redis repository interfaces.
09:22:46.648 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisConfig' of type [com.wljy.config.RedisConfig$$EnhancerBySpringCGLIB$$d64a51ee] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
09:22:47.007 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
09:22:47.169 [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
09:22:49.186 [main] INFO  com.wljy.config.RedisConfig - åˆå§‹åŒ– -> [Redis CacheErrorHandler]
09:22:50.426 [main] INFO  com.wljy.services.wljyTest - Started wljyTest in 5.176 seconds (JVM running for 7.127)
