19:27:55.594 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.wljy.services.wljyTest], using SpringBootContextLoader
19:27:55.599 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.wljy.services.wljyTest]: no resource found for suffixes {-context.xml, Context.groovy}.
19:27:55.600 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.wljy.services.wljyTest]: wljyTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
19:28:09.178 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.wljy.services.wljyTest], using SpringBootContextLoader
19:28:09.186 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.wljy.services.wljyTest]: no resource found for suffixes {-context.xml, Context.groovy}.
19:28:09.187 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.wljy.services.wljyTest]: wljyTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
19:28:09.314 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.wljy.WljyApplication for test class com.wljy.services.wljyTest
19:28:09.440 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@7e6ef134, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1f010bf0, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@40db2a24, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@10cf09e8, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1921ad94, org.springframework.test.context.event.EventPublishingTestExecutionListener@ee86bcb]
19:28:09.807 [main] INFO  com.wljy.services.wljyTest - Starting wljyTest using Java 1.8.0_151 on XuChunYang with PID 75096 (started by 19732 in F:\springboot-xcy\springboot-wljy)
19:28:09.808 [main] INFO  com.wljy.services.wljyTest - No active profile set, falling back to default profiles: default
19:28:10.498 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
19:28:10.501 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
19:28:10.529 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 12 ms. Found 0 Redis repository interfaces.
19:28:10.843 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisConfig' of type [com.wljy.config.RedisConfig$$EnhancerBySpringCGLIB$$6f5a6797] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
19:28:11.203 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
19:28:11.415 [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
19:28:13.767 [main] INFO  com.wljy.config.RedisConfig - ³õÊ¼»¯ -> [Redis CacheErrorHandler]
19:28:14.680 [main] INFO  com.wljy.services.wljyTest - Started wljyTest in 5.2 seconds (JVM running for 6.419)
19:28:18.932 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
19:28:18.941 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
