15:40:04.456 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.wljy.services.wljyTest], using SpringBootContextLoader
15:40:04.468 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.wljy.services.wljyTest]: no resource found for suffixes {-context.xml, Context.groovy}.
15:40:04.469 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.wljy.services.wljyTest]: wljyTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
15:40:04.710 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.wljy.WljyApplication for test class com.wljy.services.wljyTest
15:40:04.978 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@3cdf2c61, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@13ad5cd3, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@1c33c17b, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@5bf0fe62, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1e097d59, org.springframework.test.context.event.EventPublishingTestExecutionListener@673be18f]
15:40:05.499 [main] INFO  com.wljy.services.wljyTest - Starting wljyTest using Java 1.8.0_151 on XuChunYang with PID 139604 (started by 19732 in F:\springboot-xcy\springboot-wljy)
15:40:05.501 [main] INFO  com.wljy.services.wljyTest - No active profile set, falling back to default profiles: default
15:40:06.424 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
15:40:06.427 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
15:40:06.457 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 13 ms. Found 0 Redis repository interfaces.
15:40:06.803 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisConfig' of type [com.wljy.config.RedisConfig$$EnhancerBySpringCGLIB$$e48c6d92] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
15:40:07.189 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
15:40:07.390 [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
15:40:10.062 [main] INFO  com.wljy.config.RedisConfig - 初始化 -> [Redis CacheErrorHandler]
15:40:11.184 [main] INFO  com.wljy.services.wljyTest - Started wljyTest in 6.119 seconds (JVM running for 8.332)
15:40:16.165 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
15:40:16.171 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
16:22:22.836 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.wljy.services.wljyTest], using SpringBootContextLoader
16:22:22.842 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.wljy.services.wljyTest]: no resource found for suffixes {-context.xml, Context.groovy}.
