17:24:57.192 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.wljy.services.wljyTest], using SpringBootContextLoader
17:24:57.199 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.wljy.services.wljyTest]: no resource found for suffixes {-context.xml, Context.groovy}.
17:24:57.199 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.wljy.services.wljyTest]: wljyTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
17:24:57.324 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.wljy.WljyApplication for test class com.wljy.services.wljyTest
17:24:57.443 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@7e6ef134, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1f010bf0, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@40db2a24, org.springframework.test.context.support.DependencyInjectionTestExecutionListener@10cf09e8, org.springframework.test.context.support.DirtiesContextTestExecutionListener@1921ad94, org.springframework.test.context.event.EventPublishingTestExecutionListener@ee86bcb]
17:24:57.805 [main] INFO  com.wljy.services.wljyTest - Starting wljyTest using Java 1.8.0_151 on XuChunYang with PID 33304 (started by 19732 in F:\springboot-xcy\springboot-wljy)
17:24:57.807 [main] INFO  com.wljy.services.wljyTest - No active profile set, falling back to default profiles: default
17:24:58.493 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
17:24:58.496 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
17:24:58.520 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 11 ms. Found 0 Redis repository interfaces.
17:24:58.814 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'redisConfig' of type [com.wljy.config.RedisConfig$$EnhancerBySpringCGLIB$$6f5a6797] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
17:24:59.196 [main] INFO  c.a.d.s.b.a.DruidDataSourceAutoConfigure - Init DruidDataSource
17:24:59.402 [main] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
17:25:01.720 [main] INFO  com.wljy.config.RedisConfig - ³õÊ¼»¯ -> [Redis CacheErrorHandler]
17:25:02.723 [main] INFO  com.wljy.services.wljyTest - Started wljyTest in 5.243 seconds (JVM running for 6.519)
17:25:06.811 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
17:25:06.817 [SpringApplicationShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
